PlayerID,Team,Opponent,GameID,TeamPlayerFormation,player,date,home_team,away_team,reason,status,player_y
334087,Arsenal,Wolves,1729311, 6,Gabriel Magalhaes,2024-04-20 19:30:00,Wolves,Arsenal,,,
247454,Arsenal,Wolves,1729311, 7,Martin Odegaard,2024-04-20 19:30:00,Wolves,Arsenal,,,
326413,Arsenal,Wolves,1729311, 8,Kai Havertz,2024-04-20 19:30:00,Wolves,Arsenal,,,
279379,Arsenal,Wolves,1729311, 9,Gabriel Jesus,2024-04-20 19:30:00,Wolves,Arsenal,,,
367185,Arsenal,Wolves,1729311, 10,Bukayo Saka,2024-04-20 19:30:00,Wolves,Arsenal,,,
113994,Arsenal,Wolves,1729311, 11,Leandro Trossard,2024-04-20 19:30:00,Wolves,Arsenal,,,
316858,Arsenal,Wolves,1729311, 0,Aaron Ramsdale,2024-04-20 19:30:00,Wolves,Arsenal,,,
238940,Arsenal,Wolves,1729311, 0,Thomas Partey,2024-04-20 19:30:00,Wolves,Arsenal,,,
363686,Arsenal,Wolves,1729311, 0,Emile Smith Rowe,2024-04-20 19:30:00,Wolves,Arsenal,,,
380706,Arsenal,Wolves,1729311, 0,Gabriel Martinelli,2024-04-20 19:30:00,Wolves,Arsenal,,,
345845,Arsenal,Wolves,1729311, 0,Eddie Nketiah,2024-04-20 19:30:00,Wolves,Arsenal,,,
106968,Arsenal,Wolves,1729311, 0,Jorginho,2024-04-20 19:30:00,Wolves,Arsenal,,,
